month,region,n_valid,network_bias_vs_cryosat,bilinear_bias_vs_cryosat,network_worse_bias,network_rmse_vs_cryosat,bilinear_rmse_vs_cryosat,network_worse_rmse
1,coastal,3043,-0.6018382980147963,-0.5134774796054997,True,0.8275780318712388,0.6592719857824092,True
1,interior,16310,-0.22635345565550127,-0.21009126913175738,True,0.36491806274543276,0.3442643534027617,True
2,coastal,3043,-0.3908163774482764,-0.22656947885217896,True,0.9894865015248412,0.6930305059805607,True
2,interior,16310,-0.022950204913336943,-0.020259273728947164,True,0.36484213865218373,0.32473668698814884,True
3,coastal,3043,-0.8520611907355718,-0.5678290026732742,True,1.243682046342804,0.9969548818676707,True
3,interior,16310,-0.1061851099251495,-0.10865097689810961,False,0.5132340603171113,0.4468522089338279,True
4,coastal,3043,-0.6135130935078282,-0.3677680610197607,True,1.0265489542677861,0.806725496648459,True
4,interior,16310,0.054746127595723185,0.0654111340845589,False,0.508867457787974,0.43227063442806746,True
10,coastal,30,-1.1748356808835534,-1.175051858791874,False,1.1748356883159534,1.1750518587918746,False
10,interior,647,-0.9341074171231435,-0.9031549743114767,True,0.9387733582358478,0.9070489166936537,True
11,coastal,186,-0.8422012587399681,-0.8259294557651833,True,0.85889166828846,0.8375267597486813,True
11,interior,6115,-0.5752847282847411,-0.5164520292407495,True,0.6027215442176835,0.5360364433866324,True
12,coastal,1843,-0.5337653955525915,-0.5600564845715436,False,0.6657753945773992,0.6386804062661349,True
12,interior,13263,-0.34408173046571744,-0.3088615346839535,True,0.4611530859573009,0.4264735347630649,True
