,Unnamed: 0,trial,lr,k,batch_size,latent_channels,rmse,pruned
0,0,0,0.0002353315666155,6,32,8,0.1691,0
0,0,1,0.0005820280383062,3,32,16,0.1532,0
0,0,2,0.0005719710862864,6,64,4,0.1727,0
1,1,3,0.0001038240463436,3,32,8,0.2034,0
1,1,4,2.6056812761449654e-05,9,32,8,0.2526,0
1,1,5,0.0001612270284603,9,32,4,0.1881,0
2,2,6,0.0007730899230866,9,64,16,0.1574,0
2,2,7,0.0002752646550483,6,64,8,0.1688,0
2,2,8,0.0005001693987754,6,32,16,0.1593,0
3,3,9,0.0006066917790059,6,32,4,0.1615,0
3,3,10,1.655763278161159e-05,6,32,8,0.2686,0
3,3,11,0.0001014321468618,6,64,16,0.2158,0
4,4,12,1.0132386214893289e-05,3,16,16,0.2661,0
4,4,13,0.0009764772675843,3,16,16,0.155,0
5,5,14,0.0008932453618252,3,16,16,0.1521,0
5,5,15,0.0009729086347972,3,16,16,0.1519,0
6,6,16,7.569008712665743e-05,3,16,16,0.1863,0
6,6,17,0.0003138731724294,3,16,16,0.1644,0
4,4,18,0.0003500254309571,3,16,16,0.1636,0
7,7,19,0.0009789953063944,3,16,16,0.1534,0
7,7,20,0.0009943884609432,3,16,16,0.1509,0
8,8,21,0.0004091517764585,3,16,16,0.1655,0
8,8,22,0.0003743535294848,3,16,4,0.1606,0
5,5,23,0.000453532643032,3,16,16,0.1563,0
9,9,24,0.0009766439911836,3,16,16,0.1589,0
9,9,25,0.0009953367520025,3,16,16,0.1526,0
10,10,26,0.0006778485632553,3,16,16,0.1501,0
10,10,27,0.0006896473200329,3,16,16,0.1486,0
6,6,28,0.0007416441375199,9,16,16,0.1494,0
11,11,29,0.000190078045678,9,16,4,0.1719,0
11,11,30,0.000203363502458,9,16,4,0.1679,0
12,12,31,0.0002106408580567,3,16,16,0.1699,0
