,trial,lr,k,batch_size,latent_channels,rmse,pruned
0,1,0.0005820280383062473,3,32,16,0.1532,0
1,4,2.6056812761449654e-05,9,32,8,0.2526,0
2,8,0.0005001693987754909,6,32,16,0.1593,0
3,10,1.655763278161159e-05,6,32,8,0.2686,0
4,13,0.0009764772675843032,3,16,16,0.155,0
5,15,0.000972908634797274,3,16,16,0.1519,0
6,17,0.0003138731724294763,3,16,16,0.1644,0
7,19,0.0009789953063944067,3,16,16,0.1534,0
8,21,0.00040915177645858554,3,16,16,0.1655,0
9,24,0.0009766439911836232,3,16,16,0.1589,0
10,26,0.0006778485632553082,3,16,16,0.1501,0
11,29,0.0001900780456780224,9,16,4,0.1719,0
12,31,0.00021064085805671778,3,16,16,0.1699,0
