Configuration,MAE,RMSE,Bias,Grad MAE,Pattern Corr,SSIM,IIEE,Coastal MAE,Coastal RMSE,Spread/Error
"avg, pre-fix (old refiner)",,0.1111,,,0.8783,0.9344,0.3312,,0.1938,1.034
"interp, pre-fix (old refiner)",,0.1332,,,0.8468,0.9201,,,0.2516,0.916
"avg, shared-bias fix (old refiner)",,0.108,,,,,0.2936,,0.1888,0.972
"avg, deep mask head (old refiner)",,0.1091,,,,,0.2431,,0.1884,1.129
"avg, noise-mix none (old refiner)",,0.1109,,,,,0.3944,,0.1885,1.37
"avg, noise-mix gaussian_fixed (old refiner)",,0.1112,,,,,0.2367,,0.1868,1.369
no correlated noise,0.0418,0.1196,0.001,0.0454,0.8662,0.9117,0.2132,0.0924,0.197,1.872
"single global noise field (""global z"")",0.0414,0.1184,0.0014,0.0454,0.8612,0.9097,0.2842,0.0936,0.1986,1.8787
"cascade (used in paper), 4-window avg",0.0369,0.1126,-0.0008,0.0407,0.8786,0.9269,0.2392,0.0816,0.1872,1.3056
"cascade, 2000-2005 window, seed 0",0.0367,0.1115,-0.0009,0.0394,0.8748,0.9273,0.2566,0.0808,0.1846,1.3492
"cascade, 2000-2005 window, seed 1",0.0369,0.1114,-0.0005,0.0405,0.8736,0.926,0.15,0.0801,0.1819,1.4596
"cascade, 2000-2005 window, seed 2",0.0377,0.1141,-0.0005,0.0433,0.8744,0.924,0.3136,0.0842,0.1908,1.3375
"cascade, 2000-2005 window, seed 3",0.0371,0.1114,0.0002,0.0415,0.8687,0.9237,0.3386,0.0829,0.1869,1.3384
"cascade, 2000-2005 window, seed 4",0.0368,0.1115,-0.0003,0.04,0.8694,0.926,0.3205,0.0815,0.1855,1.2921
"cascade, late mask fusion",0.037,0.1128,-0.0001,0.0426,0.8755,0.9247,0.2087,0.0819,0.1884,1.3413
"cascade, noise channels 1→2",0.0373,0.1134,-0.0006,0.0413,0.8757,0.9249,0.2729,0.0828,0.1889,1.3304
"cascade, kernel size 5→3",0.0362,0.111,-0.0014,0.0411,0.8798,0.9271,0.191,0.0803,0.1842,1.2835
"cascade, kernel size 5→9",0.0364,0.1118,-0.0003,0.0393,0.8763,0.9276,0.2621,0.0807,0.1851,1.3085
